"categories","descriptions","phone_number","source","titles"
"1x Немой звонок;1x Колл-центр","отрицательно",79294347795,"neberitrubku.ru","Колл-центр;Немой звонок"
"1x Немой звонок;1x Нежелательный звонок","Кто-то звонил, когда я не мог брать трубку, в последствии перезванивать не стал, попробовал в интернете счастья, но ничего там не нашёл, возможно здесь кто-нибудь знающий есть?",79299041246,"neberitrubku.ru","Немой звонок;Нежелательный звонок"
"10x Сборщик задолженностей;3x Колл-центр;1x Сервис;1x Телефонное хулиганство;1x Злонамеренный вызов","dfhkjx, nkgz. nmgz cbngx bnml;dfhkjx, nkgz. nmgz cbngx bnml;достали они;И опять же мюээлмтю;пошли вы все козе в трещину;сборщик хренов;сопровождения;мба финанс;мба финанс;коллекторы;мба сборщик задолжностей;коллекторы;коллекторы;Oбьeбанк (Зaeбанк, Уeбанк) и калы;мба финанс;не брать;Коллекторы;коллектора мба",79803079221,"neberitrubku.ru","Сборщик задолженностей;Нежелательный звонок;Сборщик задолженностей;Злонамеренный вызов;Телефонное хулиганство;каллы (Сборщик задолженностей);Сборщик задолженностей;Сборщик задолженностей;Сервис;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Колл-центр;Сборщик задолженностей;Колл-центр;Колл-центр;Сборщик задолженностей;Сборщик задолженностей"
"3x Злонамеренный вызов;2x Сборщик задолженностей;1x Колл-центр","автокаллоинформатор;АВТОИНФОРМАТОР  Займер - KONGA.ru;частые звонки;АВТОИНФОРМАТОР  Займер - KONGA.ru;коллектор;коллекторы;Звонят по кредиту чужого не известного человека, по 6 раз в день;каллы какие то;финколлект;вымогатели;Сборщик задолженности;калллллыыыы;звонит постоянно;мошенники прозванивание;финколлект",74993489682,"neberitrubku.ru","Немой звонок;Злонамеренный вызов;Сборщик задолженностей;Другое;Сборщик задолженностей;Другое;Сборщик задолженностей;Задолбали звонить по задолженности чужого человека! (Автомат);коллекторы (Сборщик задолженностей);Немой звонок;Сборщик задолженностей;Колл-центр;Компания Кредиторы (Автомат);Злонамеренный вызов;Злонамеренный вызов;Злонамеренный вызов;Сборщик задолженностей;Злонамеренный вызов;Злонамеренный вызов;Злонамеренный вызов;Колл-центр"
"4x Телефонное мошенничество;1x Финансовые услуги","диагностика пластиковых окон. мошенники. смотрите ролики в интернете.;банк сбор финансы;Предлагают бесплатную диагностику и смазку пластиковых окон, которые установлены более 2-х лет. То, что мошенничество - факт, так как в интернете полно подобных историй.;девушка сказала, что она из сервиса по обслуживанию окон и  поинтересовалась есть у меня в квартире окна или двери старше двух лет не на гарантии. с какой целью она интересовалась не уточнил, сказал, что в каких-либо услугах не нуждаюсь;Мошенничество с окнами",79242935107,"neberitrubku.ru","Телефонное мошенничество;Финансовые услуги;Окна (Телефонное мошенничество);Телефонное мошенничество;Телефонное мошенничество"
"1x Финансовые услуги;1x Злонамеренный вызов;1x Сборщик задолженностей","мкб колекторы денег хотят;коллектор;коллекторы;сборщик задрлжностей",74956407254,"neberitrubku.ru","Сборщик задолженностей;Сборщик задолженностей;МКБ (Сборщик задолженностей);Сборщик задолженностей;Злонамеренный вызов;Финансовые услуги"
"1x Злонамеренный вызов","мошенники",79283510979,"neberitrubku.ru","Злонамеренный вызов"
"1x Сервис","автоответчик Ростелеком",73843320116,"neberitrubku.ru","Сервис"
"3x Сборщик задолженностей","кал деньги;коллекторы Константа;сборщики чужих задолженностей;Коллектор",78126702173,"neberitrubku.ru","Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей"
"2x Сборщик задолженностей;1x Злонамеренный вызов;1x Колл-центр;1x Нежелательный звонок","денег хотят;чтобы было недоступен мой номер;ООО СКК Содействие (коллекторы Банк Уралсиб);уралсиб кредитные просрочки долги;Уралсиб банк;софт УРАЛСИБ",79177770854,"neberitrubku.ru","Нежелательный звонок;Нежелательный звонок;Колл-центр;Сборщик задолженностей;Сборщик задолженностей;Злонамеренный вызов"
"1x Компания","фарфор доставка",73512161555,"neberitrubku.ru","Компания"
"1x Сборщик задолженностей;1x Финансовые услуги;1x Нежелательный звонок","не брать сборщик долгов;сборщик чужих долгов;чужой долг;деньга петухи;компания деньга;автоответчик;коллекторы Константа пи;козлыыыыыыы;Знакомая  влезла в кредит",78126707827,"neberitrubku.ru","Злонамеренный вызов;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Финансовые услуги;Сборщик задолженностей;Сборщик задолженностей;Нежелательный звонок;Финансовые услуги;Сборщик задолженностей"
"3x Компания","предлагали СПА процедуры;Позвонили,что я выиграла бесплатное посещение  СПА,обращались по имени,нигде не участвовала...;говорят, что вы выиграли бесплатное посещение какого-то косметического салона. это при том, что вы и не пытались что-то выиграть!",79051229585,"neberitrubku.ru","Компания;Компания;Компания"
"2x Сборщик задолженностей;1x Телефонное мошенничество","просит продиктовать номер карты и снимает с нее деньги. Будьте бдительны!;звонят с банка;прозвон номеров",79609077966,"neberitrubku.ru","Телефонное мошенничество;Сборщик задолженностей;Сборщик задолженностей"
"2x Сборщик задолженностей;1x Финансовые услуги","звонят не по делу;халява карта в банке",79039319036,"neberitrubku.ru","Коллекторы (Сборщик задолженностей);Сборщик задолженностей;Финансовые услуги"
"1x Сервис","согаз подтверждение записи на приём к врачу",78123259911,"neberitrubku.ru","Сервис"
"1x Колл-центр","хоум Кредит банк;хоум кредит",79035035929,"neberitrubku.ru","Сборщик задолженностей;Сборщик задолженностей;Колл-центр"
"1x Телемаркетер","косметика бесплатно",79292729101,"neberitrubku.ru","Телемаркетер"
"7x Немой звонок;2x Соцопрос;1x Сборщик задолженностей;1x Другое","плохой контакт;10 минут одних и тех же вопросов,с последующей оценкой по 10-ти больной шкале!;Коллекторы Банков ВТБ и Банка Москвы;соцопрос;Позаонили на мобильный. Сразу взяла трубку. Не долгое молчание и бросили трубку;Позвонили, сразу взяла трубку. Послушала тишину и сбросила.;Позвонили. Ответила. Сразу кинули трубку.;Позвонили. Молчат.;Соцопрос;Прослушала их голосовое сообщение, на звонок не успела ответить. Представились психологической службой, попросили ответить на несколько вопросов. 
Однако в интернете это номер интернет-магазина обуви.

Вывод: в топку, не отвечайте.;Как ни искал в интернете, ничего об этом номере не нашёл, похоже там никто ничего не знает о нём, может быть здесь кто-нибудь подскажет чей это номер?!",74956431109,"neberitrubku.ru","Злонамеренный вызов;Немой звонок;Соцопрос о мобильной связи! (Соцопрос);Немой звонок;Немой звонок;Немой звонок;Сборщик задолженностей;Немой звонок;Соцопрос;84956431109 (Немой звонок);Немой звонок;Немой звонок (Немой звонок);Немой звонок;Немой звонок;Немой звонок;Соцопрос;Другое"
"1x Сервис;1x Нежелательный звонок;1x Телефонное хулиганство","Компания типа Дэшали. Разводят людей на кредит для ""лечения"".;Нахамили и сбросили звонок;Диагностика всего организма;мед.диагностика",79221488213,"neberitrubku.ru","Центр ""диагностики"" (Компания);Телефонное хулиганство;Дурь предлагают (Нежелательный звонок);Сервис"
